listing_id,title,price,bhk,area_sqft,age_years,parking,location,price_per_sqft,price_text,area_text,page_scraped
17454115,3 BHK Independent Builder Floor in Sector 5 Rohini,16000000.0,3.0,1100.0,1.0,1.0,Sector 5,14545.454545454546,₹1.6 Cr,1100 sq.ft,357
17615840,3 BHK Independent Builder Floor in Pitampura,15500000.0,3.0,1000.0,1.0,1.0,,15500.0,₹1.55 Cr,1000 sq.ft,357
18124828,4 BHK Flat in Vasant Kunj,37500000.0,4.0,3000.0,1.0,,,12500.0,₹3.75 Cr,3000 sq.ft,357
18214414,4 BHK Independent Builder Floor in Rajouri Garden,65000000.0,4.0,3600.0,1.0,1.0,,18055.555555555555,₹6.5 Cr,3600 sq.ft,358
17573964,3 BHK Flat in Sarita Vihar,23000000.0,3.0,1500.0,1.0,1.0,,15333.333333333334,₹2.3 Cr,1500 sq.ft,358
17574079,2 BHK Flat in Sarita Vihar,19000000.0,2.0,1000.0,1.0,1.0,,19000.0,₹1.9 Cr,1000 sq.ft,358
18245517,3 BHK Flat in Sector 4 Dwarka,26000000.0,3.0,1700.0,1.0,,Sector 4,15294.117647058823,₹2.6 Cr,1700 sq.ft,358
17866111,4 BHK Independent Builder Floor in Shastri Nagar,95.0,4.0,1000.0,1.0,1.0,,0.095,₹95.0,1000 sq.ft,358
17321522,3 BHK Flat in Sector 23 Dwarka,28000000.0,3.0,1600.0,1.0,1.0,Sector 23,17500.0,₹2.8 Cr,1600 sq.ft,358
17346891,3 BHK Flat in Sector 19 Dwarka,29200000.0,3.0,1700.0,1.0,1.0,Sector 19,17176.470588235294,₹2.92 Cr,1700 sq.ft,358
17817733,3 BHK Flat in Satbari,90.0,3.0,1200.0,1.0,1.0,,0.075,₹90.0,1200 sq.ft,358
17820584,4 BHK Flat in Satbari,14500000.0,4.0,1900.0,1.0,1.0,,7631.578947368421,₹1.45 Cr,1900 sq.ft,358
17820615,4 BHK Flat in Satbari,14500000.0,4.0,1900.0,1.0,1.0,,7631.578947368421,₹1.45 Cr,1900 sq.ft,358
17820646,3 BHK Flat in Satbari,90.0,3.0,1350.0,1.0,1.0,,0.06666666666666667,₹90.0,1350 sq.ft,358
17817658,4 BHK Flat in Satbari,14500000.0,4.0,1900.0,1.0,1.0,,7631.578947368421,₹1.45 Cr,1900 sq.ft,358
17817763,4 BHK Flat in Satbari,13000000.0,4.0,1900.0,1.0,1.0,,6842.105263157895,₹1.3 Cr,1900 sq.ft,358
17820283,4 BHK Flat in Satbari,14500000.0,4.0,1900.0,1.0,1.0,,7631.578947368421,₹1.45 Cr,1900 sq.ft,358
17820301,4 BHK Flat in Satbari,14500000.0,4.0,1900.0,1.0,1.0,,7631.578947368421,₹1.45 Cr,1900 sq.ft,358
18253534,3 BHK Flat in Sector 11 Dwarka,28000000.0,3.0,1700.0,1.0,1.0,Sector 11,16470.58823529412,₹2.8 Cr,1700 sq.ft,358
17420253,4 BHK Independent Builder Floor in Sector 20 Rohini,18700000.0,4.0,2300.0,1.0,,Sector 20,8130.434782608696,₹1.87 Cr,2300 sq.ft,358
16439706,2 BHK Independent Builder Floor in Sector 25 Rohini,65.5,2.0,700.0,1.0,,Sector 25,0.09357142857142857,₹65.5,700 sq.ft,358
